time	R	JAK	RJ	IFNRJ	IFNRJ2	IFNRJ2_star	STAT1c	IFNRJ2_star_STAT1c	STAT1c_star	IFNRJ2_star_STAT1c_star	STAT1c_star_STAT1c_star	SHP2	IFNRJ2_star_SHP2	PPX	STAT1c_star_PPX	STAT1c_STAT1c_star	STAT1n_star_STAT1n_star	STAT1n_star	PPN	STAT1n_star_PPN	STAT1n	STAT1n_STAT1n_star	mRNAn	mRNAc	SOCS1	IFNRJ2_star_SOCS1	IFNRJ2_star_SHP2_SOCS1_STAT1c	STAT1c_star_STAT1c_star_PPX	STAT1n_star_STAT1n_star_PPN	IFNRJ2_star_SOCS1_STAT1c	IFNRJ2_star_SHP2_STAT1c	IFNRJ2_star_SHP2_SOCS1	IFNR	IFN
0.0	10.0	10.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	100.0	0.0	50.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
1.0	4.186393113264381	5.102284940582888	4.018265464148061	0.864586926520106	0.007423815356582235	3.3476586699699718e-06	999.9999956888701	4.0061345036454365e-06	2.4369899318910756e-07	3.254341048788182e-16	8.330441856185485e-17	99.99999988202691	5.824742649605007e-08	49.999999998442064	1.5579627083012255e-09	6.2339530774192495e-12	2.721365466242159e-20	3.356312930752766e-22	60.0	1.162269056509991e-24	6.39568498281118e-28	2.883278980052025e-26	0.0	0.0	0.0	0.0	0.0	2.7140939249356975e-19	9.984282766558553e-23	0.0	5.972567305793109e-08	0.0	0.9158918273185392	10.0
2.0	2.4235885437671	3.5798446492834266	4.338957676752987	1.9140118689201298	0.08340122967033728	5.726895035985796e-05	999.9998501042612	0.0001280063022665782	1.74670426161863e-05	8.607196103924021e-13	9.39343933366721e-13	99.9999936488125	2.1704732071651936e-06	49.999999760243234	2.3975679185588844e-07	9.597142122657492e-10	6.64782430853399e-16	1.767000391763408e-17	60.0	1.2914597766819658e-19	1.491672061968836e-22	3.1764007969909283e-21	0.0	0.0	0.0	0.0	0.0	6.609232085227066e-15	5.206461716176185e-18	0.0	4.180714327442204e-06	0.0	1.1562561055163918	10.0
3.0	1.6245150472243706	2.8808131478112355	3.976018810724316	2.617144769010009	0.2619946451477462	0.00023778073381585074	999.9990688786157	0.0007269983728591815	0.0001626655306151	5.2254308258851806e-11	1.312487450006463e-10	99.9999478345345	1.4245888737713373e-05	49.999996490520374	3.5094781867025066e-06	1.4053609841572674e-08	1.4835440458746967e-13	6.299965879319853e-15	60.0	7.234575538340271e-17	1.3137460237180395e-19	1.7626109325605533e-18	0.0	0.0	0.0	0.0	0.0	1.4696709345960842e-12	1.8367431395455295e-15	0.0	3.791957681021669e-05	0.0	1.2562981005870169	10.0
4.0	1.1874847203576442	2.494380472497943	3.472673131028681	3.014628591905581	0.5062380145327136	0.000578547799597345	999.9969968359457	0.0021385648315245904	0.0006880960927071957	7.378049469936711e-10	3.3197611856251334e-09	99.99979627207153	4.78689493821534e-05	49.99997952732241	2.0472625670848627e-05	8.201620435775891e-08	5.264297259221926e-12	3.1416622565808256e-13	59.99999999999991	4.986265657754803e-15	1.2535674628778208e-17	1.202628041729248e-16	0.0	0.0	0.0	0.0	0.0	5.1945535718504376e-11	9.055930148473277e-14	0.0	0.0001558589791484953	0.0	1.3068957521405742	10.0
5.0	0.919003357147554	2.2521841825115123	2.977179697578102	3.2229832227312207	0.767720901180853	0.0010730299470225351	999.9930770612074	0.004495107469544408	0.001929767546087299	4.872686513475355e-09	3.426790719380076e-08	99.9994626413291	0.00011348839080167221	49.999926470146896	7.352915657353842e-05	2.9469369663626115e-07	7.089425130333598e-11	5.539312671940884e-12	59.999999999998316	1.13247387138573e-13	3.67847643873156e-16	2.7022163071670015e-15	0.0	0.0	0.0	0.0	0.0	6.965488941875683e-10	1.5774862277185753e-12	0.0	0.0004238702801477073	0.0	1.3331808253645006	10.0
6.0	0.7399692841761843	2.085235759078582	2.533775358954413	3.3289681586062128	1.0154396521881541	0.0016973343433624888	999.9869187772425	0.007756257603755315	0.00422746667435269	2.0371004909037965e-08	2.05514180184719e-07	99.9988829492693	0.00021808151031626848	49.99980348430552	0.0001965105223829858	7.879262126321475e-07	5.288542830511964e-10	5.1650055212479445e-11	59.99999999998418	1.2987872449750018e-12	5.209580152415346e-15	3.064278793192898e-14	0.0	0.0	0.0	0.0	0.0	5.172121149569917e-09	1.4522381252434788e-11	0.0	0.0008989692204660164	0.0	1.3452664749029615	10.0
7.0	0.6130403403924116	1.9616439716284706	2.1526018711521706	3.382432978676552	1.2354543827057185	0.002424374711926538	999.9782700550153	0.011797273285993339	0.007876403755226344	6.307058228355675e-08	8.607567712735066e-07	99.99801555093153	0.0003649628589754369	49.99956849622285	0.00043147785876044	1.730813940577897e-06	2.663263239274302e-09	3.146799659641418e-10	59.99999999990329	9.422581522473617e-12	4.522889368559065e-14	2.1970118173477051e-13	0.0	0.0	0.0	0.0	0.0	2.59184030159597e-08	8.730502417776603e-11	0.0	0.0016194862095636386	0.0	1.3486036312364245	10.0
8.0	0.518776273513982	1.8653565653844586	1.8315660116413557	3.4093011104781517	1.4240278037709218	0.0032297081991633394	999.9669760150083	0.016471887831968637	0.013110718845499619	1.5837308692225914e-07	2.8019773093378334e-06	99.99684144834569	0.000554485868152287	49.999175190160464	0.0008247114854685278	3.30972256682016e-06	1.0158893719482583e-08	1.4162666493026974e-09	59.99999999956321	4.9242339766733816e-11	2.7587151343933647e-13	1.1342918378586545e-12	0.0	0.0	0.0	0.0	0.0	9.835407231771096e-08	3.8755732851024296e-10	0.0	0.002604065786200259	0.0	1.3465802918702887	10.0
9.0	0.44629193171072973	1.7876863313001357	1.5643086099631023	3.4225438126259116	1.5823539217452076	0.00409320325055909	999.9529461554075	0.021643200266389148	0.020104884288385784	3.413712216084539e-07	7.582031138408051e-06	99.99536008999614	0.0007849239773209354	49.99857653495929	0.0014231609817806313	5.714133098274858e-06	3.157646440384507e-08	5.095859420413911e-09	59.9999999984233	2.0186627341280276e-10	1.2958275756682024e-12	4.592112733040507e-12	0.0	0.0	0.0	0.0	0.0	3.0405893255617727e-07	1.374834297456282e-09	0.0	0.00385498602660524	0.0	1.3413943995888853	10.0
