time	compartment	E1	E2	KKK	P_KKK	KK	P_KK	PP_KK	K	P_K	PP_K	KPase	KKPase	E1_KKK	E2_P_KKK	P_KKK_KK	P_KKK_P_KK	PP_KK_K	PP_KK_P_K	KKPase_PP_KK	KKPase_P_KK	KPase_PP_K	KPase_P_K	K_PP_norm	KK_PP_norm	KKK_P_norm	rel_K_PP_max	K_PP_norm_max	r1a	r1b	r2a	r2b	r3a	r3b	r4a	r4b	r5a	r5b	r6a	r6b	r7a	r7b	r8a	r8b	r9a	r9b	r10a	r10b
0.0	4.0E-12	3.0E-5	3.0E-4	0.003	0.0	1.2	0.0	0.0	1.2	0.0	0.0	0.12	3.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.900049	3.6000000000000003E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	4.0E-12	2.9707243384044542E-5	2.99991321158545E-4	0.0029562758494557258	8.707496360935404E-6	1.1974792728723105	0.002480876540441941	5.436357657854527E-7	1.199990927002141	4.966510753666512E-6	1.886775920624986E-11	0.1199980398179749	2.9755455345556014E-4	2.927566159554528E-7	8.678841454904864E-9	3.464391071555803E-5	7.130801037101375E-8	2.1462774459184483E-6	8.766346209745847E-12	5.322275288207261E-10	2.444914316910956E-6	7.347780398882346E-12	1.9601746773487966E-6	2.1846283004276847E-11	2.2420451713157742E-6	0.01447569285798747	2.427232628920964E-11	0.900049	1.7563725510734536E-16	1.7565396957327166E-16	5.241388476258019E-18	5.2073048729429186E-18	2.0921839213990058E-14	2.0786346429334816E-14	1.4858358545317332E-15	1.4669485901465735E-15	4.362408756870462E-17	4.2784806222608247E-17	3.277086728306118E-19	3.193365172924357E-19	1.321665478594548E-15	1.287766467551069E-15	1.2077814142902202E-15	1.176104806409278E-15	5.540083781557212E-21	5.259807725847508E-21	4.6477082427007265E-21	4.4086682393294074E-21
2.0	4.0E-12	2.971133052913711E-5	2.9998298755455795E-4	0.002914606740848144	1.7040576378770866E-5	1.1905741351296995	0.009308492834414334	8.10486618184202E-6	1.1998594612202491	7.752131234764905E-5	4.7954743815042075E-9	0.11996919795576655	2.9099045884644324E-4	2.886694708628802E-7	1.7012445441994018E-8	6.752075390076478E-5	5.262469560185338E-7	3.2208560167538996E-5	2.067527340308505E-9	7.811965868798411E-9	9.001729187687903E-6	1.8929887252741182E-9	3.0800151244760426E-5	5.573719255648607E-9	3.360275486882508E-5	0.028365416010092282	6.1926842379121656E-9	0.900049	1.7318569444143298E-16	1.732016825177281E-16	1.0240064781824846E-17	1.020746726519641E-17	4.0639825596607965E-14	4.0512452340458864E-14	5.433692891607482E-15	5.4010375126127416E-15	3.187401588531948E-16	3.157481736111203E-16	4.746575395293874E-18	4.687179521279047E-18	1.9573665380305335E-14	1.9325136100523396E-14	1.8720587920447423E-14	1.8480090746856255E-14	1.2726830470887895E-18	1.2405164041851028E-18	1.1654436263014705E-18	1.135793235164471E-18
3.0	4.0E-12	2.971524000311005E-5	2.999750160609724E-4	0.002874759747661755	2.5012011759961545E-5	1.1801048429350356	0.019587161278080592	3.8072778341603846E-5	1.1993310498466285	3.69987749021282E-4	1.1089139508389392E-7	0.11985276522981544	2.8161223086933194E-4	2.847599968899382E-7	2.498393902754116E-8	9.829041485657208E-5	1.6280817857970856E-6	1.5157018281940397E-4	4.6559951365612854E-8	3.559418581229042E-8	1.835217494485561E-5	4.392894212673261E-8	1.471908412424549E-4	1.2901694767552208E-7	1.5810426274848787E-4	0.04164780285223611	1.4334435977988096E-7	0.900049	1.7084070527823363E-16	1.708559981339629E-16	1.5021551101122084E-17	1.4990363416524697E-17	5.909293592397148E-14	5.897424891394325E-14	1.1052631768757319E-14	1.1011304966913366E-14	9.828081614482094E-16	9.768490714782512E-16	2.153052868931632E-17	2.1356511487374252E-17	9.170535118441249E-14	9.094210969164238E-14	8.90617145399494E-14	8.831450474547294E-14	2.840987541101719E-17	2.793597081936771E-17	2.6805196087947022E-17	2.6357365276039565E-17
4.0	4.0E-12	2.9718979411280338E-5	2.9996738690231595E-4	0.0028366559504076454	3.264152955764542E-5	1.1667245225005252	0.03255916689046528	1.1163890094976898E-4	1.198024207317732	0.0010946485266645047	9.789535485150648E-7	0.11956469000162852	2.7057238197100643E-4	2.8102058871965187E-7	3.261309768401421E-8	1.2685412900415981E-4	3.534757344147866E-6	4.444503795926865E-4	4.048240912449648E-7	1.0039263537958007E-7	2.932722539361385E-5	3.877416807979248E-7	4.349222566907199E-4	1.1389126910941579E-6	4.638287477242328E-4	0.05434915387714547	1.2653896522235544E-6	0.900049	1.6859772591641156E-16	1.6861235323179112E-16	1.95977186931979E-17	1.9567858610408524E-17	7.622221454482667E-14	7.611247740249589E-14	1.7642110126010558E-14	1.759633523616831E-14	2.130269627221011E-15	2.1208544064887195E-15	6.059003217466893E-17	6.023558122774805E-17	2.6831419550906737E-13	2.6667022775561185E-13	2.625718929910916E-13	2.60953354014432E-13	2.4592697902545784E-16	2.4289445474697886E-16	2.3554810173803683E-16	2.3264500847875487E-16
5.0	4.0E-12	2.972255596188465E-5	2.99960078838533E-4	0.002800220617063871	3.9950327902467937E-5	1.1509389468942128	0.04759870635009487	2.5314660651439913E-4	1.195495410564512	0.002499735153459298	5.138662806862186E-6	0.11900873799181676	2.5876515169417024E-4	2.7744403811533165E-7	3.992116146698676E-8	1.5318395421425033E-4	6.3277356198288846E-6	0.001006354583234302	2.099027804719442E-6	2.178577402872883E-7	4.101699056554225E-5	2.0285462082996947E-6	9.89233461975015E-4	5.972674179301565E-6	0.0010515150627447556	0.06649437357889636	6.635943353419164E-6	0.900049	1.664524331160173E-16	1.6646642286919898E-16	2.398131714880606E-17	2.3952696880192055E-17	9.201118076802956E-14	9.191037252855019E-14	2.4657351537188894E-14	2.4610194339325352E-14	3.80969433378096E-15	3.796641371897331E-15	1.3130743596987867E-16	1.3071464417237298E-16	6.06729675211197E-13	6.038127499405812E-13	5.964212265228768E-13	5.935400771850091E-13	1.2717812023002229E-15	1.2594166828316652E-15	1.2290553774608054E-15	1.2171277249798167E-15
6.0	4.0E-12	2.9725976449774326E-5	2.9995306932003034E-4	0.002765383353009236	4.696092083088767E-5	1.1331377039775592	0.06419016334733213	4.883566294275818E-4	1.1912644737707487	0.004857050132068719	1.9525597111029113E-5	0.1180843158571391	2.4682508345853527E-4	2.7402355022565887E-7	4.6930679969668514E-8	1.773006368936153E-4	1.0034135036065569E-5	0.0019353915165266455	7.874840684193906E-6	4.010651114789345E-7	5.277385142998546E-5	7.65482720306669E-6	0.0019080293156579187	2.2650353595079833E-5	0.002026686709791582	0.07810692050237043	2.5165689418109275E-5	0.900049	1.6440075156920673E-16	1.6441413013539532E-16	2.8185881383477716E-17	2.815840798180111E-17	1.0647237789176672E-13	1.0638038213616917E-13	3.171065884369778E-14	3.1664310857991274E-14	6.0372356946639045E-15	6.0204810216393415E-15	2.415155963766068E-16	2.406390668873607E-16	1.1658127027540316E-12	1.1612349099159872E-12	1.1493481783218958E-12	1.1448175893947513E-12	4.762986115315138E-15	4.724904410516344E-15	4.6297707843920045E-15	4.592896321840014E-15
7.0	4.0E-12	2.972924724449962E-5	2.999463347887831E-4	0.0027320782129993592	5.369683370930658E-5	1.113624490542707	0.0819042963138624	8.433891394898958E-4	1.1848240765847238	0.008459104272894855	5.9675088443837744E-5	0.1166919510807786	2.3517166610034597E-4	2.707527555003666E-7	5.366521121684239E-8	1.9925736734726577E-4	1.4643167977352299E-5	0.0033253942943769614	2.370084033955704E-5	6.601385952271442E-7	6.416819530442656E-5	2.3133533439471828E-5	0.0032849153857820073	6.900718490275795E-5	0.0034942870106680346	0.08920876998723237	7.667047561050337E-5	0.900049	1.624388614420546E-16	1.6245165330021997E-16	3.2225547113371704E-17	3.219912673010543E-17	1.196380159247725E-13	1.1955442040835946E-13	3.854536211697384E-14	3.850091718265594E-14	8.806104730561582E-15	8.78590078641138E-15	3.9728175928281697E-16	3.9608315713628655E-16	2.0018344569646256E-12	1.995236576626177E-12	1.9774882965302024E-12	1.9709492314692044E-12	1.4316762490554146E-14	1.4220504203734224E-14	1.3974289942034704E-14	1.3880120063683097E-14
8.0	4.0E-12	2.9732374282719698E-5	2.999398510407158E-4	0.002700243760874327	6.018224741918446E-5	1.092641829353082	0.10037795551311587	0.0013441533493336426	1.1756361333210277	0.013623969973745036	1.5623082278240914E-4	0.1147372119859639	2.2406230097177457E-4	2.6762571728029675E-7	6.01489592838905E-8	2.1912927965164023E-4	2.011693737828657E-5	0.00526001382319995	6.0864045209963945E-5	1.002626504602208E-6	7.493507252362296E-5	5.957673197556774E-5	0.005203211282060616	1.7983962896498055E-4	0.005555028203540134	0.09982039434886109	1.9981093136593736E-4	0.900049	1.605632022433986E-16	1.6057543036817805E-16	3.6114841734488447E-17	3.6089375570334306E-17	1.3155299586772584E-13	1.3147756779098414E-13	4.500261920227091E-14	4.4961043514173776E-14	1.2093721389516981E-14	1.2070162426971942E-14	6.031204664811292E-16	6.015759027613248E-16	3.164932690884479E-12	3.15600829391997E-12	3.1307785546355946E-12	3.12192676923637E-12	3.6732392359743106E-14	3.6518427125978364E-14	3.59559169439667E-14	3.5746039185340635E-14
9.0	4.0E-12	2.9735363067120312E-5	2.9993359357005064E-4	0.0026698230756675126	6.644164553662357E-5	1.0703893303272827	0.11929891168544268	0.002016128224923879	1.1631159443444836	0.02070666401390504	3.651685343726771E-4	0.11213364314408532	2.1364072440787564E-4	2.6463693287968645E-7	6.640642994902546E-8	2.3700506426862808E-4	2.6399171164407845E-5	0.007807067206576313	1.3879904474850096E-4	1.434164974700877E-6	8.492511061742317E-5	1.3613980308565878E-4	0.007730217052829093	4.177569478819462E-4	0.008302857201019498	0.10996076091657746	4.641491161947252E-4	0.900049	1.587704741919854E-16	1.5878215972781187E-16	3.9868468064612827E-17	3.9843857969415274E-17	1.4227067532597994E-13	1.4220303856117685E-13	5.0993357283742704E-14	5.09550663704539E-14	1.586616131379186E-14	1.5839502698644708E-14	8.624093930670813E-16	8.604989848205261E-16	4.69572321306183E-12	4.684240323945788E-12	4.64952446126135E-12	4.6381302316974555E-12	8.370973220069754E-14	8.327942684910057E-14	8.210683063178242E-14	8.168388185139527E-14
