time	compartment	Pfr	Pr	Xi	Xa	prepreS	preS	Ya	S	Gluc	Yi	V	Pi	Photoreceptor_activation	Photoreceptor_inactivation	Transducer_activation	Transducer_inactivation	preS_formation	S_generation	Glucose_sensor_inactivation	S_formation	V_formation	S_degradation	V_degradation	Photoreceptor_decay
0.0	1.0	10.0	0.0	6.0	0.0	200.0	0.0	0.9	0.0	0.0	0.0	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011110699603718382	50.0	0.0	30.0	0.0
1.0	1.0	9.048374180060321	0.9048374192025165	5.786692175118782	0.21330782488121072	196.91728365839006	2.468108316971928	0.9	0.5036290555052942	0.0	0.0	42.156486456427494	0.046788400737159425	0.9048374180060321	0.0	0.5236015613453876	0.1706462599049686	8.400799491737514	2.221297485274735	0.0	4.0042596968233984E-4	44.336397845315005	0.5036290555052942	42.156486456427494	0.09048374192025166
2.0	1.0	8.18730752968707	1.6374615103056214	5.394985654511244	0.6050143454887512	181.57548159243296	11.788626517125152	0.9	4.436169025344436	0.0	0.0	21.620561901248475	0.1752309600073013	0.818730752968707	0.0	0.8834081357913143	0.484011476391001	21.971154230490125	10.609763865412637	0.0	0.0029680919761226133	0.5662385099622859	4.436169025344436	21.620561901248475	0.16374615103056214
3.0	1.0	7.40818220033663	2.2224546859928602	5.023536369067743	0.9764636309322527	154.8460327621983	22.81644200437575	0.9	12.089092428830206	0.0	0.0	8.030645123929277	0.3693631136705007	0.740818220033663	0.0	1.1164581943690164	0.7811709047458022	30.24030387728614	20.534797803938176	0.0	0.057813891246088316	0.028284152335202737	12.089092428830206	8.030645123929277	0.22224546859928604
4.0	0.9999999999999972	6.703200444935077	2.6812802395735997	4.730046432809561	1.269953567190434	123.51946345807113	29.980563114582775	0.9	20.329647167548867	0.0	0.0	2.961624368586559	0.6155193154913124	0.6703200444935078	0.0	1.2682580032557909	1.0159628537523473	31.372796647205266	26.982506803124576	0.0	1.1120561265949862	0.005950162067374499	20.329647167548867	2.961624368586559	0.26812802395736
5.0	0.9999999999999972	6.065306580539086	3.032653356526941	4.51478515273588	1.4852148472641165	93.66201643437363	31.698253558172794	0.9	29.33910435758974	0.0	0.0	1.0916216059292614	0.9020400629339574	0.6065306580539086	0.0	1.3691778347442503	1.1881718778112933	27.821643486605556	28.5284282023556	0.0	13.03884384142334	0.00197975866454638	29.33910435758974	1.0916216059292614	0.30326533565269415
6.0	0.9999999999999972	5.488116345355349	3.2928698694683725	4.362400891521459	1.637599108478538	68.4772912032072	29.22834223079652	0.9	43.02171928758536	0.0	0.0	0.4022341389660202	1.2190137851762592	0.5488116345355349	0.0	1.4364818454233022	1.3100792867828304	22.42767020507953	26.30550800771694	0.0	28.166940904892623	6.279155866976681E-4	43.02171928758536	0.4022341389660202	0.3292869869468373
7.0	0.9999999999999972	4.965853021538531	3.476097180491838	4.257324883960189	1.7426751160398082	48.80330745899486	24.59111857470979	0.9	49.63684791877828	0.0	0.0	0.1482683287023957	1.5580497979696084	0.4965853021538531	0.0	1.4798875025571798	1.3941400928318468	17.009661897846108	22.132006717238873	0.0	29.902533994102686	4.0884046058951135E-4	49.63684791877828	0.1482683287023957	0.34760971804918384
8.0	0.9999999999999972	4.493289624950817	3.5946317647619503	4.1875213695996125	1.8124786304003875	34.184611726940894	19.412323144576412	0.9	49.47977750961433	0.0	0.0	0.054799131661364464	1.91207861028721	0.44932896249508175	0.0	1.5052597330782276	1.44998290432031	12.391775648723007	17.47109083011882	0.0	29.9950640491792	4.1274631531689615E-4	49.47977750961433	0.054799131661364464	0.359463176476195
9.0	0.9999999999999972	4.0656965802001706	3.659126990915397	4.144386259334554	1.855613740665445	23.67876499734484	14.644614776352583	0.9	46.59739197563008	0.0	0.0	0.02044723310094787	2.2751764288844125	0.4065696580200171	0.0	1.5164835622310007	1.484490992532356	8.787728338212236	13.180153298717363	0.0	29.99974353908567	4.941751256397321E-4	46.59739197563008	0.02044723310094787	0.36591269909153973
10.0	0.9999999999999972	3.678794392247007	3.678794470015191	4.121841792077385	1.878158207922613	16.295655774262002	10.692887334303773	0.9	43.08673266640836	0.0	0.0	0.007880412950634203	2.642411137737781	0.36787943922470073	0.0	1.516340879097183	1.5025265663380902	6.121163929182358	9.623598600873423	0.0	29.999985318583047	6.250775317833407E-4	43.08673266640836	0.007880412950634203	0.36787944700151914
11.0	0.9999999999999972	3.3287108140920196	3.661581986930774	4.115523944068523	1.8844760559314717	11.182990550514248	7.6261366790314105	0.9	39.84221708568457	0.0	0.0	0.003353636026845217	3.0097071989771864	0.33287108140920196	0.0	1.5069328340383643	1.5075808447451775	4.214815585230413	6.863523011128289	0.0	29.999998868462246	7.905560110992513E-4	39.84221708568457	0.003353636026845217	0.3661581986930774
