time	compartment	c1	h1	c2	h2	Phi1_c1	r2	R1	Phi_minus1_c1	k1	R3	Phi2_c1	k2	r4	Phi3_c1	k3	R5	Phi1_c2	Phi_minus1_c2	Phi2_c2	Phi3_c2	Jreceptor_Cell1	Jpump_Cell1	Jleak_Cell1	Inactivated_to_S_Cell1	Open_to_Inactivated_Cell1	Jreceptor_Cell2	Jpump_Cell2	Jleak_Cell2	Inactivated_to_S_Cell2	Open_to_Inactivated_Cell2	diffusion
0.0	1.0	0.3	0.8	0.1	0.1	4.761904761904762	100.0	6.0	0.874751491053678	44.0	50.0	0.6461232604373758	26.5	20.0	0.8421052631578947	1.6	1.6	1.639344262295082	0.8782435129740519	0.5688622754491017	0.9411764705882353	1.5058036840454758	0.8823529411764706	0.2	0.1684210526315789	0.3111486757183586	3.807113437526335E-5	0.28301886792452835	0.2	0.8470588235294118	0.019425248382026694	-0.002
1.0	1.0	1.6006800741420582	0.5059489376394116	0.08938199486057984	0.6018602475386237	21.059695428934866	100.0	6.0	0.8527019399120114	44.0	50.0	1.1339695794467501	26.5	20.0	0.4998937609935538	1.6	1.6	1.467833598483688	0.8784296840498974	0.5647432403960194	0.9470918980239539	1.0646898220092933	1.1850148966482028	0.2	0.24697304368629533	0.500746211041253	0.03711514890240519	0.23736501860884596	0.2	0.37707493383743207	0.10775795363638473	-0.015112980792814784
2.0	1.0	1.1708723546724071	0.4042138897349164	0.11474145714140754	0.7541767426112977	16.32817175876082	100.0	6.0	0.8598641761475142	44.0	50.0	0.9755051027362482	26.5	20.0	0.577435477062661	1.6	1.6	1.8764727494308195	0.877985174035652	0.5745780244612008	0.9330852726143978	0.3732923084307671	1.172294709319115	0.2	0.3440280368082257	0.331476159175157	0.1744790782542081	0.34672475936674	0.2	0.22937406113549652	0.1614341247808648	-0.010561308975309996
3.0	1.0	0.6110667370577566	0.47414788101959443	0.19210074496514468	0.7724762749379454	9.243088314817268	100.0	6.0	0.8693750761784065	44.0	50.0	0.7650764395527573	26.5	20.0	0.7236326127944483	1.6	1.6	3.1023517361429174	0.876631966921881	0.6045177318533843	0.8928069498855764	0.4407978423660601	1.1041898595362014	0.2	0.380523742801288	0.2710036781461597	0.6021818373026606	0.6389828661394567	0.2	0.20313476299925748	0.23150024206917624	-0.004189659920926119
4.0	1.0	0.26249817699906947	0.5982205920722761	0.9743754429165887	0.6416560334129846	4.191588876834709	100.0	6.0	0.8754041600768485	44.0	50.0	0.6316829582997266	26.5	20.0	0.8590612435272195	1.6	1.6	13.97079137611092	0.8631787955749098	0.9021691479051209	0.6215099683313134	0.3807793030859215	0.8162095890912994	0.2	0.3451531177980205	0.21571382830371777	2.125712517842357	1.1603995693135916	0.2	0.22271434732521314	0.47355954631111635	0.007118772659175194
5.0	1.0	0.14904337078856372	0.7106414283490318	1.2057253700535793	0.45897314597272976	2.423846471739069	100.0	6.0	0.8773846327371754	44.0	50.0	0.5878650006899964	26.5	20.0	0.9147857775983184	1.6	1.6	16.732879871670907	0.8592789123095271	0.9884540651517115	0.5702625128878689	0.2538432837018664	0.4880936680451995	0.2	0.2647011059724697	0.1813967560038357	0.6304436909422059	1.1738388582455765	0.2	0.30852733331740934	0.3828939989409779	0.010566819992650156
6.0	1.0	0.17365244177867056	0.7559091206819173	0.7548427827664776	0.46525019505373716	2.812799123635799	100.0	6.0	0.8769542949072213	44.0	50.0	0.5973862251777271	26.5	20.0	0.9020933088759335	1.6	1.6	11.174838660824143	0.8669123493953557	0.8195642696277551	0.6794508795701063	0.4506252723725388	0.5784686434862374	0.2	0.2201927489904854	0.21277450190002034	0.48986358679477715	1.1354354053845157	0.2	0.3633362253206811	0.2980659029061546	0.005811903409878071
7.0	1.0	0.5364227322657401	0.7031096199276989	0.38558041411858474	0.5574080294233701	8.206671358903959	100.0	6.0	0.8706591725557088	44.0	50.0	0.7366658072049435	26.5	20.0	0.7489154537796704	1.6	1.6	6.038298621470061	0.8732657168651118	0.6789960143594025	0.8058097212397479	1.876482707247717	1.0785566789988519	0.2	0.22234579371466617	0.37481515807126325	0.5055885646170637	0.9852790874087247	0.2	0.3566449124333049	0.24890122142794216	-0.0015084231814715538
8.0	1.0	1.2082440284945977	0.5069704039198278	0.1982249935073903	0.6636489603745346	16.76197453524521	100.0	6.0	0.8592366489957437	44.0	50.0	0.989389140969171	26.5	20.0	0.5697510557363152	1.6	1.6	3.198092901032634	0.8765250166851704	0.6068840058406062	0.8897663005335291	0.9395316900953741	1.1739454479077693	0.2	0.28090413287592714	0.42345326903822733	0.34871465815999514	0.6576887602656329	0.2	0.29927382020815685	0.20273733575760927	-0.010100190349872074
9.0	1.0	0.8815740108676713	0.45922248051510206	0.16541353720557211	0.7343796312064609	12.81064491169393	100.0	6.0	0.8647531224289985	44.0	50.0	0.8673371662584081	26.5	20.0	0.6447520779122631	1.6	1.6	2.6829268824771253	0.8770983212839869	0.5941996415917892	0.9063032350667249	0.5216505381197116	1.1519746673269975	0.2	0.34866742937612727	0.3204375214338197	0.36270754199976063	0.5494154258159474	0.2	0.24073259953720105	0.2004619839611749	-0.007161604736620993
