time	cytoplasm	nucleus	cLc	cLm	cLn	cP7c	cP7m	cP7n	cP9c	cP9m	cP9n	cPn	cTc	cTm	cTn	cXc	cXm	cXn	cYc	cYm	cYn	q1	n1	g1	m1	k1	p1	r1	r2	m2	k2	m3	k3	n2	g2	g3	m4	k4	p2	p3	r5	r6	m10	k8	m11	k9	q2	n4	n5	g5	g6	m12	k10	r3	r4	m5	m6	k5	m7	m8	k6	n3	g4	m9	k7	p4	r7	r8	m13	k11	m14	k12	p5	k13	q3	m15	g7	g8	n6	g9	m16	k14	p6	r9	r10	m17	k15	m18	k16	n7	g10	m19	k17	p7	r11	r12	m20	k18	m21	k19	ld	lmax	a	b	c	d	e	f	h	i	j	k	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30	R31a	R31b	R32	R33	R34	R35	R36	R37	R38	R39	R40	R41	R42	R43	R44	R45
0.0	1.0	1.0	6.7846	0.8539	6.8104	20.0554	4.28	2.091	6.0091	1.1006	3.7528	0.0	0.1724	0.3717	8.0398	13.0372	8.487	31.8995	7.075	0.1937	1.07	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.6289736146747898	0.6481081705939316	6.43908912	67.42399788	65.68085968	4.202929495745846	1.21907281509517	0.4127942236724665	0.5173309689960152	0.53718084	2.54474468	2.0573848200000002	0.1603695815585066	1.652302147285697	1.3906071166751597	1.298534929300303	26.7111351	404.25880132	398.86815805	20.33032687415546	2.910054850447405	0.003447817258867865	0.04033554305062689	0.55396263	40.575125	39.943207	1.0311015307064748	0.7995314818111685	0.5	0.0	0.0	2.8031784956425096	2.369162998481754	8.666144000000001	66.17479784	64.33672440000001	3.647365027199004	1.5031456923232343	0.835748131050235	0.6492124767051808	1.20284574	58.77140164	58.00965656	0.05859283145902511	0.5268272858988663
1.0	0.9999999999999999	1.0	7.150496623428819	0.8153129928192211	7.209180618997109	23.393477990211732	4.672951519210556	2.44158732054193	6.438810715888833	1.2720702323380846	4.018641689066482	0.34020114211240343	0.13924018545435135	0.28097431603379824	6.854633139341305	13.934954316539436	8.480420881606747	34.15626559171607	6.031981023528415	0.1614375750632936	0.9121035337177217	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.5660078806205459	0.623675824138351	6.148112216251182	71.0602053443109	69.52677972573191	4.38545501920262	1.2705420777860679	0.32005891761404875	0.3980795489523289	0.40606408153204515	2.0552826054360436	1.75410062035744	0.13088305203333034	1.435559503662547	1.1823795512702935	1.297754134118469	26.69042864068091	432.0964569426864	427.0865293322586	20.89905807866932	3.027243633571034	0.006013046605295295	0.03368277786851979	0.4616953209235133	34.59341116993546	34.04891612403593	0.8939385224330166	0.6923597154822531	0.5	0.2650571794635709	0.0	2.8817004475556502	2.5323337476636394	9.461792236097532	77.18911997650262	75.12373531336232	3.9256434386394528	1.7004214063121261	0.8960598591618684	0.7429389359708155	1.3902455569222922	62.97414432567913	62.11895763708296	0.062291740211973534	0.5617076326220295
2.0	0.9999999999999998	1.0	7.228361801655697	0.7405778561789688	7.320011175199175	26.94836311311561	4.973783088861995	2.8158750670304125	6.9435694315156775	1.4005130603467504	4.332932853675262	0.5201239858979451	0.11524441043698709	0.21363209303704836	5.781392894606971	14.551854876820755	8.24054803305127	35.74742545606442	5.122103996717685	0.13850939916712252	0.7743567451615849	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.4851394167624736	0.5752482189966195	5.584549497874367	71.83401391249397	70.59565177585588	4.423829197991026	1.2845657249375544	0.24919725641825463	0.3067578422436575	0.30874110085714224	1.701088169137235	1.479458441729924	0.10915647764733362	1.2320384381692346	0.9004088002528545	1.2690997715216805	25.935476824422256	451.2253712059455	446.98223316008387	21.265291240746176	3.1059380891060573	0.010970155834488036	0.028939034398163834	0.39612303067805366	29.375266421175922	28.906814732556484	0.7704446140512682	0.5960482481907204	0.5	0.36285104340993984	0.0	2.9025191409400284	2.6526919089167498	10.070915998327765	88.91881892803625	86.63997041241855	4.178298361076377	1.8978877701280052	0.9127721762017209	0.8119412104221495	1.5306207236529632	67.91088646799592	66.9771761722561	0.06656342380249369	0.6025577950617769
3.0	0.9999999999999998	1.0	6.995305811016761	0.6396274969039626	7.115084456346016	30.568007910284482	5.167648107905006	3.1979318630119105	7.4852932590565	1.4687274301994346	4.672137073468309	0.6297913461386971	0.09502121051700065	0.1642075771501337	4.835437466943493	14.741519621099703	7.7460237731902755	36.31138793135749	4.347322837912202	0.12634351538479174	0.657029491274367	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.3983553655855195	0.5074101458395442	4.8233030286534	69.51795008872236	68.61929751389223	4.3084850633763905	1.2585411136432862	0.19616711637115186	0.23814884923295268	0.2373127904973732	1.4025795820782911	1.2373884477908401	0.09058582328540381	1.0466394215832768	0.5965348915554948	1.208855228463974	24.37906062136175	457.1065145630216	454.0339635549009	21.37414777445468	3.133092091116582	0.020744145309788648	0.02641662034996257	0.3613298196489659	24.931896475426477	24.52697661222125	0.6623380609889639	0.5118562333294941	0.5	0.41302502438939354	0.0	2.8636907456538094	2.72825575713473	10.463453888886052	100.86219890077464	98.39524673389566	4.398910861037913	2.086743903412908	0.8818520764739848	0.8481765594608595	1.6051722084649618	73.20916219087619	72.22049324055108	0.07106224227501357	0.6461823853634929
4.0	0.9999999999999998	1.0	6.4790752013768005	0.5281669844090898	6.617171667310279	34.084622284776685	5.239920551689826	3.5700702119708154	8.018606823117576	1.4656210329353274	5.0079926320901675	0.7008663347218318	0.0781819797853347	0.1284426993959015	4.017421628375109	14.390749765694432	7.042976086484018	35.556633118388504	3.7136131287037086	0.12930956795062942	0.5609669455987504	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.3179885068403576	0.4290738690313765	3.9828015960320635	64.38775353624236	63.81732699387379	4.0476813205155775	1.1935487798441988	0.1576188882298651	0.18763865173580294	0.1856253891669568	1.1540207490173897	1.0280581947011904	0.07493765905736355	0.8815541677245465	0.3439249003398114	1.1203870486549177	22.16635863699114	446.2298078096294	444.59658484901803	21.171470628628118	3.0966657787387195	0.040213704854053046	0.02703192917818954	0.36981243338200503	21.297571293115766	20.940952175895912	0.5718204067935158	0.44139141051832936	0.5	0.44245067962091816	0.0	2.7629764357238416	2.756036745001439	10.609791133061558	112.46561969084911	109.84534831000283	4.584857890151282	2.25947960750061	0.8064504495117873	0.8465325733813754	1.601777226895019	78.42518217281913	77.41204770906019	0.07540697314996589	0.68890958725209
5.0	1.0	1.0	5.75711412465414	0.42218728889553714	5.900852452021228	37.31283070217789	5.177995866467423	3.9126813587328875	8.496592036393649	1.390262177962026	5.310988456170878	0.7484887054683439	0.06435620768596428	0.10343435398985522	3.321606971510699	13.474394587358153	6.228675602497115	33.40108999012864	3.2395248690399985	0.15722883133988474	0.48886758287573706	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.2519880462227569	0.351010470489834	3.1836299081034665	57.213048747987905	56.90900121778313	3.670156342347597	1.095420494398114	0.13167600661459913	0.15187955792091595	0.14948332838613876	0.949942674790213	0.8499992240095879	0.06196208839812868	0.7375092185710321	0.17792219095790218	1.0135457456715375	19.60351072373917	417.81537480426033	417.6438891275695	20.612835455051588	2.9887788418867296	0.07860071532402063	0.032812990672138644	0.4496587347489364	18.578675123944393	18.249475755509554	0.5028306331950617	0.38757104421077776	0.5	0.46096569307345414	0.0	2.600264922787816	2.732246181272058	10.484406030423239	123.11741618490616	120.38694511803698	4.7353958871106965	2.4095668313240024	0.6977420472752731	0.8064714906183021	1.519417534294698	83.10006875274445	82.09566625895259	0.07923187034843632	0.7270641415259139
6.0	0.9999999999999999	1.0	4.934271617369802	0.33255890713075853	5.071526460098825	40.054835762110635	4.975326948645847	4.20476568281131	8.87829449847389	1.2538732278241203	5.55503462354499	0.7810430177865614	0.05327052575664679	0.08793117660623671	2.7391302505563595	12.070804946126588	5.398956607477653	30.019938464793437	2.9701875385095673	0.2292181134059705	0.4473663735598097	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.20247124783616643	0.2820797456596649	2.5077602068916236	49.03580447909761	48.91081548648509	3.2206136784203854	0.9744037747184106	0.11888100747108818	0.12952701861984056	0.12707813643133328	0.7863102495361363	0.7009434311173725	0.051473786852380174	0.614274932328691	0.08611824291285328	0.8995265905910653	16.992136130714414	374.2927268499878	375.36630856993065	19.665287797221485	2.8070816075588656	0.15116176859209743	0.04762981126089364	0.655540882529735	17.034025533352366	16.70023146162505	0.4631400445151262	0.3562205094893195	0.5	0.47311018131805843	0.0	2.380707976486176	2.6532997569467502	10.074042005618109	132.16493608066023	129.3739124350115	4.850507096006981	2.5312740048769986	0.5726881643815722	0.7330803645785683	1.3703580506889808	86.83327151287402	85.86805870037139	0.08224053697026627	0.757528745207471
7.0	1.0000000000000004	1.0	4.111689774291198	0.26318974481968266	4.233723746690933	42.1155012597178	4.6370697549824165	4.425511970620124	9.135835138662138	1.0777410804571879	5.721995799239838	0.8035833557092045	0.0448563925259799	0.0829726395724984	2.261215904473718	10.336651173942396	4.6166915171347735	25.789077548349752	2.9970350483546366	0.3768163560590498	0.4499927353684139	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.16735701907565628	0.2267870144298886	1.9846612277362639	40.86115063895108	40.8308785578367	2.74925799714353	0.8432372472453803	0.12382698254064634	0.12234765519321135	0.11991205871017474	0.6621117531582318	0.5786451499548245	0.04346242817631811	0.5113027463461427	0.040615803275740464	0.7869224926564118	14.530113211878279	320.51991326672334	322.46404675681043	18.309718149162723	2.5553203830992413	0.27613854441751623	0.07761093510743439	1.077657096693277	17.18799600231385	16.79827381057643	0.46711273265238423	0.35821262288133154	0.5	0.48128770091010964	0.0	2.117412046797126	2.5177190582681566	9.389138839888401	138.9643079565649	136.16592251682823	4.930304831174733	2.6196883954515093	0.449059132694463	0.6365760865449109	1.1778632268316611	89.35212199017121	88.44889446590965	0.0842480166951444	0.778235163453923
8.0	1.0000000000000007	1.0	3.3632698522464017	0.21252665252658928	3.4658255330536174	43.32784763720797	4.1850125921826855	4.556991976130587	9.258400776030728	0.8872263823479085	5.804367284351258	0.819322556768084	0.039436404541763545	0.09334476154696787	1.8828785186743373	8.467592367246962	3.9121379047198976	21.188436956450445	3.4730339605222045	0.6381974185426293	0.5195432081072394	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.14260522954141153	0.18528127958504506	1.6026209813725056	33.423503137654315	33.4251146058757	2.2999396854258696	0.7142798257206161	0.15842333582054036	0.13734852946297693	0.13490184938767805	0.5821089365196096	0.48182861292876294	0.038278556760480933	0.4285666403265176	0.01954491688451464	0.6809673042544666	12.312671627524942	262.5639508828307	264.9380968597607	16.5562599520426	2.2451002517539225	0.4574945349352802	0.12943024878113177	1.8251807972900669	19.917849763594855	19.394599912964058	0.5369491757969789	0.4105688479227805	0.5	0.486889558493957	0.0	1.831428416622531	2.3286634976410254	8.473813496651507	142.9645660637315	140.21135191837635	4.97481791367235	2.6709604951515487	0.3402326735648374	0.5299345788137063	0.9696497132680298	90.550862949891	89.72216817131645	0.08519710494153677	0.7884105657133893
9.0	1.0000000000000016	1.0	2.727051847920803	0.17606985067771438	2.8098618647169658	43.58370469628999	3.6578504144130437	4.587433441878549	9.251578096296404	0.7046866561102478	5.805050625752555	0.8303756496289232	0.03804863160784203	0.1302660456404275	1.6082154783200235	6.658930490328933	3.294615869467199	16.70395489408919	4.591447461685491	1.0313413988594762	0.6851607587825335	13.1446	1.0988	11.7992	3.7622	4.1029	7.5408	9.9378	9.6442	22.5198	29.5681	4.5545	18.6335	13.5067	8.733	17.9887	7.1601	4.7728	1.4452	3.1473	31.0081	12.5039	35.1982	9.5343	7.0274	45.1336	12.7437	1.8828	1.506	1.5091	20.7577	3.4563	16.4042	14.7607	0.2559	1.5511	1.4189	3.0204	1.6789	11.3548	55.3798	1.7236	5.6552	5.7847	29.3208	2.8599	5.735	37.3301	9.1535	55.7326	7.5549	9.0406	0.5	1.2	1.0	1.2	4.6434	4.7985	4.6039	4.8052	10.1357	14.0306	2.0248	3.2996	30.7684	7.2481	19.799	7.8275	8.7977	4.4383	17.7951	10.1288	16.0706	1.0929	9.7804	15.4577	0.5315	48.4999	8.5942	57.4671	0.0	1.0	1.8775	1.5408	1.4723	4.0627	3.5723	2.0127	3.3286	3.5898	1.269	1.5212	0.0	0.1236439876692897	0.1548059498747772	1.3277075299905106	27.100895854267396	27.09886979570336	1.9016062378031766	0.5968054796440538	0.24633643144809228	0.1902315621914482	0.18826048915954613	0.5616244365738747	0.4115423409020941	0.0369482863656546	0.3678141430938912	0.010355325690319396	0.5843360850090623	10.369144525974132	206.4807825371689	208.8645816002018	14.474095661435571	1.8982861276415504	0.6560898886976839	0.2044459185598437	2.9495332665982206	26.331951192766333	25.577119641427853	0.6967008367141141	0.532227878611126	0.5	0.4907716361436967	0.0	1.5471899093803245	2.0959933502799455	7.406415519103542	143.80879201587868	141.14798711309595	4.983994474878738	2.6826878807167707	0.25255464584757753	0.42548484259788555	0.7701520464628911	90.4841344130175	89.73273105769528	0.08514437933488815	0.7884948685075492
