time	Cell	compartment_0000002	P0	T0	P1	T1	P2	T2	CC	Cn	Mp	Mt	Pt	Tt	V_mT	V_dT	P0_to_P1	T0_to_T1	P1_to_P0	T1_to_T0	P1_to_P2	T1_to_T2	P2_to_P1	T2_to_T1	P0_degradation	T0_degradation	P1_degradation	T1_degradation	P2_degradation	T2_degradation	PT_complex_formation	PT_complex_nucleation	PT_complex_degradation	PTnucl_complex_degradation	Mp_production	Mt_production	P0_production	T0_production	Mp_degradation	Mt_degradation
0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.1156573281057866	0.1156573281057866	0.07658882868687043	0.07658882868687043	0.026232130274402816	0.026232130274402816	1.368209931288025E-4	1.3023545550841578E-5	0.5963223522117527	0.5963223522117527	0.2186281316057395	0.2186281316057395	0.7	2.0	0.4373386051486445	0.4373386051486445	0.03688203828742608	0.03688203828742608	0.29505630629940865	0.29505630629940865	0.012946261132899086	0.012946261132899086	0.0011565732810578661	0.0011565732810578661	7.658882868687043E-4	7.658882868687043E-4	0.23216687210713405	0.23216687210713405	7.436569946026073E-4	7.948788676711318E-5	1.368209931288025E-6	1.302354555084158E-7	1.0	1.0	0.5366901169905774	0.5366901169905774	0.530155022721078	0.530155022721078
2.0	1.0	1.0	0.24767686898319202	0.24767686898319202	0.1955995580265281	0.1955995580265281	0.08499987419756522	0.08499987419756522	0.0027635103016566387	6.048851031488932E-4	1.0278696287764721	1.0278696287764721	0.5316446966120909	0.5316446966120909	0.7	2.0	0.8815390589314968	0.8815390589314968	0.08908708207353573	0.08908708207353573	0.7126966565882858	0.7126966565882858	0.04076732821400209	0.04076732821400209	0.00247676868983192	0.00247676868983192	0.001955995580265281	0.001955995580265281	0.5973406072861908	0.5973406072861908	0.007011868155328312	0.0015371291603642045	2.763510301656639E-5	6.048851031488932E-6	0.9999999999998661	0.9999999999998661	0.9250826658988249	0.9250826658988249	0.596260076787008	0.596260076787008
3.0	1.0	1.0	0.3784688262112389	0.3784688262112389	0.3148757269969313	0.3148757269969313	0.1629230592589963	0.16292305925899628	0.013174134985169943	0.004392874227257739	1.4145722330217447	1.4145722330217447	0.8738346216795942	0.8738346216795942	0.7	2.0	1.272983095815025	1.272983095815025	0.1360227347519069	0.1360227347519069	1.0881818780152552	1.0881818780152552	0.07532540677374475	0.07532540677374473	0.003784688262112389	0.003784688262112389	0.003148757269969313	0.003148757269969313	0.8994672439260328	0.8994672439260328	0.023948226894870535	0.007025906145650416	1.3174134985169942E-4	4.392874227257739E-5	0.9999999996276125	0.9999999996276125	1.2731150097195703	1.2731150097195703	0.6274354487749837	0.6274354487749837
4.0	1.0	1.0	0.5138029014720694	0.5138029014720694	0.43907033477045554	0.43907033477045554	0.26605016276095045	0.26605016276095034	0.04019453209273465	0.017226125041728456	1.7767601018582933	1.7767601018582933	1.2763440561379384	1.2763440561379384	0.7	2.0	1.6351414064203338	1.6351414064203338	0.18001544625886204	0.18001544625886204	1.4401235700708963	1.4401235700708963	0.11740700498738983	0.11740700498738979	0.005138029014720694	0.005138029014720694	0.004390703347704555	0.004390703347704555	1.1443837924632128	1.1443837924632128	0.060822507670513046	0.0206714942472951	4.019453209273465E-4	1.7226125041728456E-4	0.9999999119457459	0.9999999119457459	1.599084091672464	1.599084091672464	0.6469446418398791	0.6469446418398791
5.0	1.0	1.0	0.6569710030277424	0.6569710030277424	0.5717417043760786	0.5717417043760786	0.3982084649600874	0.3982084649600874	0.09876146771431406	0.05026550878545664	2.122484303714479	2.122484303714479	1.775948148863679	1.775948148863679	0.7	2.0	1.9781051498991693	1.9781051498991693	0.22231692374207032	0.22231692374207032	1.7785353899365626	1.7785353899365626	0.16604414119050098	0.16604414119050098	0.006569710030277424	0.006569710030277424	0.0057174170437607865	0.0057174170437607865	1.3353188619941205	1.3353188619941205	0.13102709725045453	0.0492037788714971	9.876146771431405E-4	5.026550878545664E-4	0.999993616225188	0.999993616225188	1.9102358733430311	1.9102358733430311	0.6609445648126201	0.6609445648126201
6.0	1.0	1.0	0.8102101581582399	0.8102101581582399	0.7144700018334655	0.7144700018334655	0.555660300328165	0.5556603003281649	0.20878442961469473	0.12222615027801575	2.4558308759627328	2.4558308759627328	2.411351040212581	2.411351040212581	0.7	2.0	2.3064756372220554	2.3064756372220554	0.26320791953894607	0.26320791953894607	2.1056633563115685	2.1056633563115685	0.21742337988222232	0.2174233798822223	0.008102101581582399	0.008102101581582399	0.007144700018334655	0.007144700018334655	1.4762182219525772	1.476218221952577	0.24523938546412702	0.10082542771321368	0.0020878442961469474	0.0012222615027801577	0.999776869151361	0.999776869151361	2.2102477883664595	2.2102477883664595	0.6718441087451966	0.6718441087451966
7.0	1.0	1.0	0.9751107995738217	0.9751107995738217	0.8673492159135844	0.8673492159135844	0.7275287903988013	0.7275287903988009	0.3880172517971032	0.25886606789581396	2.7779432978665906	2.7779432978665906	3.2168721255791244	3.2168721255791244	0.7	2.0	2.6220490335042426	2.6220490335042426	0.3024916571374906	0.3024916571374906	2.419933257099925	2.419933257099925	0.26673551273217794	0.2667355127321778	0.009751107995738218	0.009751107995738218	0.008673492159135845	0.008673492159135845	1.57602182802161	1.5760218280216096	0.4023474179527092	0.18103713749909914	0.0038801725179710323	0.0025886606789581397	0.9955295149376322	0.9955295149376322	2.5001489680799316	2.5001489680799316	0.680767120789815	0.680767120789815
8.0	1.0	1.0	1.149468561731997	1.149468561731997	1.0286755548870787	1.0286755548870785	0.9015956031520888	0.9015956031520882	0.6440548877651509	0.48807920248866205	3.0728332792801862	3.0728332792801862	4.2118738100249775	4.211873810024976	0.7	2.0	2.9197778335018305	2.9197778335018305	0.33964534538115354	0.33964534538115354	2.7171627630492283	2.7171627630492283	0.31072407270422486	0.3107240727042247	0.01149468561731997	0.01149468561731997	0.010286755548870787	0.010286755548870785	1.6459063004959993	1.6459063004959993	0.5890166252887232	0.2888170921613581	0.006440548877651509	0.004880792024886621	0.9462981554634228	0.9462981554634228	2.7655499513521677	2.7655499513521677	0.6879519405804887	0.6879519405804887
9.0	1.0	1.0	1.300276350060576	1.300276350060576	1.184944455735362	1.184944455735362	1.0658593369357454	1.065859336935745	0.9708267511182578	0.8329080759379175	3.220760449847535	3.220760449847535	5.354814969787859	5.354814969787858	0.7	2.0	3.1519211414806754	3.1519211414806754	0.37204556380929843	0.37204556380929843	2.9763645104743874	2.9763645104743874	0.3476543506399243	0.3476543506399242	0.01300276350060576	0.01300276350060576	0.011849444557353619	0.011849444557353619	1.6946677179785132	1.694667717978513	0.7807713006887729	0.41591443548337115	0.009708267511182578	0.008329080759379175	0.6750966217840512	0.6750966217840512	2.898684404862782	2.898684404862782	0.6912810321609589	0.6912810321609589
