time	CELL	EmptySet	Per	dClk	dClkF	dClkF_tau1	dClkF_tau2	tau1	tau2	Vsp	K1	Vsc	K2	kdc	kdp	rPer	rdClk	rPerD	rdClkD
0.0	1.0E-15	0.0	5.0E-16	1.0E-16	0.0	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	2.5E-31	5.0E-32
1.0	1.0E-15	0.0	3.0326458698521076E-16	0.19673541301478936	0.19673541301478906	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	1.5163229349260538E-31	9.836770650739469E-17
2.0	1.0E-15	0.0	1.8393784507552276E-16	0.3160621549244772	0.31606215492447703	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	9.196892253776139E-32	1.5803107746223861E-16
3.0	1.0E-15	0.0	1.1156254925764912E-16	0.38843745074235086	0.38843745074235075	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	5.578127462882457E-32	1.9421872537117544E-16
4.0	1.0E-15	0.0	6.766421943027315E-17	0.4323357805697269	0.4323357805697268	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	3.383210971513658E-32	2.1616789028486345E-16
5.0	1.0E-15	0.0	4.103887599982612E-17	0.45896112400017386	0.4589611240001738	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	2.0519437999913062E-32	2.2948056200008694E-16
6.0	1.0E-15	0.0	2.489005694522073E-17	0.4751099430547793	0.4751099430547793	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	1.2445028472610366E-32	2.375549715273897E-16
7.0	1.0E-15	0.0	1.5095385034552663E-17	0.48490461496544734	0.48490461496544734	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	7.547692517276332E-33	2.424523074827237E-16
8.0	1.0E-15	0.0	9.154641678026241E-18	0.49084535832197373	0.49084535832197373	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	4.577320839013121E-33	2.454226791609869E-16
9.0	1.0E-15	0.0	5.551185049053262E-18	0.4944488149509467	0.4944488149509467	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	2.7755925245266313E-33	2.4722440747547337E-16
10.0	1.0E-15	0.0	-5.900187176481577E-10	0.49663303961535005	0.49663304020536875	0.0	0.0	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	0.0	2.5E-16	-2.9500935882407887E-25	2.4831651980767507E-16
11.0	1.0E-15	0.0	0.09713687445348881	0.40527227945500005	0.30813540500151126	0.19673541301478906	0.19673541301478906	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	1.9802837472444485E-16	8.425013969854021E-17	4.856843722674441E-17	2.0263613972750004E-16
12.0	1.0E-15	0.0	0.24128250831289194	0.3007706684945478	0.05948816018165587	0.31606215492447703	0.31606215492447703	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	2.565180740271435E-16	6.008717616851733E-17	1.2064125415644598E-16	1.5038533424727392E-16
13.0	1.0E-15	0.0	0.35946337006885276	0.2257401211395916	0.0	0.38843745074235075	0.38843745074235075	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	2.8211528173219936E-16	5.1183626402938184E-17	1.797316850344264E-16	1.1287006056979582E-16
14.0	1.0E-15	0.0	0.4456852366127582	0.1753567321736131	0.0	0.4323357805697268	0.4323357805697268	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	2.951759234223047E-16	4.696283983249071E-17	2.2284261830637915E-16	8.767836608680656E-17
15.0	1.0E-15	0.0	0.5056886618482294	0.14235293421327863	0.0	0.4589611240001738	0.4589611240001738	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	3.023614184486666E-16	4.472582962673488E-17	2.528443309241147E-16	7.117646710663932E-17
16.0	1.0E-15	0.0	0.5464112911375927	0.1210011947955262	0.0	0.4751099430547793	0.4751099430547793	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	3.064790661711341E-16	4.346994918434013E-17	2.7320564556879637E-16	6.050059739776311E-17
17.0	1.0E-15	0.0	0.5736208940453928	0.10728959819864306	0.0	0.48490461496544734	0.48490461496544734	10.0	10.0	0.5	0.3	0.25	0.1	0.5	0.5	3.088939762360765E-16	4.274201187740133E-17	2.8681044702269644E-16	5.364479909932154E-17
