time	Cell	UbE	UbE2	Wee1	Cdc25	G2K	R	G1K	IE	PG2	G1R	G2R	PG2R	SPF	MPF	IEB	UbEB	UbE2B	Wee1B	Cdc25B	Rum1Total	Cdc13Total	Cig2Total	mu	Mass	k1	k2prime	k3	k4	k5	k6prime	k7	k7r	k8	k8r	kc	kcr	ki	kir	kp	ku	kur	ku2	kur2	kw	kwr	V2	V2prime	V6	V6prime	V25	V25prime	Vw	Vwprime	Kmc	Kmcr	Kmi	Kmir	Kmp	Kmu	Kmur	Kmu2	Kmur2	Kmw	Kmwr	alpha	beta	Cig1	k2	k6	kwee	k25	G2K_Creation	G1K_Creation	Cdc2Phos	G2R_Creation	PG2R_Creation	Rum1DegInG2R	Rum1Deg	Rum1DegInPG2R	RumDegInG1R	G2K_dissoc	PG2_dissoc	G1K_Dissociation	PG2R_Dissociation	G2R_Dissociation	G1R_Dissociation	G1R_Binding	G2R_Dissociation_UbE	PG2R_Dissociation_UbE	Rum1_Production	Rum1_Deg_SPF	IE_Reaction	UbE_Reaction	UbE2_Reaction	Wee1_Reaction	Cdc25_Reaction
0.0	1.0	0.11	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.89	1.0	1.0	1.0	0.4	0.0	0.0	0.00495	0.49	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	3.25	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.034175	0.0375	0.035	0.025	0.015	0.00175	0.0	0.0	0.0	0.0	0.07500000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09375	0.0	0.0	-0.09166666666666667	0.0	0.22727272727272727	0.0
1.0	1.0	0.024868003958155263	7.1964449725485E-5	0.22436396739672293	1.4601617730414612E-4	4.7049954936022526E-4	0.401083136941035	4.8720357607350765E-4	1.8275151340141615E-5	1.4018566296735674E-6	0.001249558257547127	0.01400753318307834	2.7692534587133392E-5	5.923705362100858E-4	4.7056964219170894E-4	0.9999817248486599	0.9751319960418448	0.9999280355502745	0.7756360326032771	0.9998539838226959	0.4163679209162476	0.01450712712365537	0.0017367618336206346	0.00495	0.2462157565149526	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.013530490959852651	0.03803703470607643	0.10567464972996772	0.025069357684219473	0.015	0.00175	4.9684731431478184E-5	0.017470190200366414	5.345685199839278E-5	0.0026264124718271887	0.07520308817644406	5.192350235087511E-6	2.342921732900863E-4	6.3660898992332735E-6	1.8967808454807707E-8	1.853177933203256E-5	1.3846267293566696E-6	7.00376659153917E-4	0.0	0.0018291355604498137	1.8952880110347748E-4	3.746935888866152E-7	0.09375	9.456734390663329E-4	3.946039520518862E-6	-0.07131679372470821	1.6993902398188486E-5	0.2211238296859089	6.32767021624925E-5
2.0	1.0	1.3936969939704058E-5	8.798206844850161E-5	0.44112802283467123	1.9223743396451365E-4	5.696247296999223E-4	0.39914247838898986	6.0872149479381E-4	2.222428237225496E-5	3.1199483597423386E-6	0.00285712043730595	0.027608252337997418	9.594406303409337E-5	7.219611008163619E-4	5.697807271179094E-4	0.9999777757176277	0.9999860630300603	0.9999120179315515	0.5588719771653288	0.9998077625660355	0.4297037952273273	0.028276941079091174	0.00346584193209976	0.00495	0.24743754594379894	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.007503379715210378	0.03815656618579694	0.17395532719292142	0.02509131278113315	0.015	0.00175	9.901097263197412E-5	0.0199753174026088	1.1493598577191274E-4	0.005176547313374516	0.0748392146979356	1.7989511818892505E-5	5.357100819948657E-4	4.274110642112592E-6	2.3410157234994554E-8	2.322672200481726E-5	4.797203151704668E-6	0.001380412616899871	0.0	0.002143954017075924	2.071552005653393E-4	7.19904736364882E-7	0.09375	0.0011582599688788882	3.905683596755439E-6	-1.3477488321243783E-4	1.568089683002768E-5	0.21159187594947976	3.830194851361891E-5
3.0	1.0	5.099324847371326E-7	1.0350196600841296E-4	0.6450844147476846	2.2877842758813998E-4	6.665612060050129E-4	0.39547388140351397	7.289049475174987E-4	2.610044614696869E-5	5.490581525593235E-6	0.0044613889953316315	0.04041897692344495	2.130056099942368E-4	8.490619719606672E-4	6.668357350812926E-4	0.9999738995538531	0.9999994900675153	0.9998964980339916	0.35491558525231537	0.9997712215724118	0.44056725293228477	0.041304034320969796	0.00519029394284913	0.00495	0.24866539822349298	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.007500123658627549	0.038272383421337784	0.23820159064552066	0.025108669753104367	0.015	0.00175	1.5863807833471204E-4	0.022318857040836478	1.9583759770945471E-4	0.007578558173145927	0.07415135276315887	3.9938551873919396E-5	8.365104366246809E-4	4.999291471081509E-6	4.1180040399725166E-8	2.7896929629099803E-5	1.065028049971184E-5	0.0020209488461722476	0.0	0.0024364897881565353	3.031473250810504E-4	1.5975684149381681E-6	0.09375	0.001368898753124844	3.7682905782097367E-6	6.934032203162807E-8	1.534958925330284E-5	0.19446741165307302	3.556112747267481E-5
4.0	1.0	5.849799741779538E-7	1.1877416061291069E-4	0.8240409138881877	2.639702563678015E-4	7.620076837225944E-4	0.3904865485803114	8.53259648817376E-4	2.991220217399004E-5	8.487112811944267E-6	0.006056725937251356	0.05245322371460755	3.842879738955465E-4	9.757469515675356E-4	7.624320393631916E-4	0.999970087797826	0.9999994150200259	0.9998812258393871	0.17595908611181232	0.9997360297436322	0.44938078620606586	0.05360800648503763	0.006909985586068732	0.00495	0.249899343439548	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.007500141857643738	0.03838635217357385	0.29457288787477914	0.025125385871774708	0.015	0.00175	2.2425356199259859E-4	0.024510052669390586	2.9298154154523123E-4	0.009834979446488916	0.07321622785880838	7.205399510541496E-5	0.0011356361132346293	5.715165724533981E-6	6.365455005140764E-8	3.275352537500374E-5	1.9214398694777326E-5	0.0026226611857303773	0.0	0.0027261915593703215	3.934066187502792E-4	2.8822143184030926E-6	0.09375	0.001580901852947442	3.723243203677159E-6	7.375075675233606E-8	1.5165545007509319E-5	0.15872693904065657	3.4915178997258476E-5
5.0	1.0	6.599568692899274E-7	1.3392689797313387E-4	0.9488975615943582	2.987634866885129E-4	8.567659174746338E-4	0.3844900771885039	9.824715733321471E-4	3.369660204285016E-5	1.1890482975430794E-5	0.0076422437774091	0.0637520658204627	6.085055433709798E-4	0.001102978334956442	8.573604416234053E-4	0.9999663033979571	0.9999993400431307	0.9998660731020269	0.05110243840564177	0.9997012365133114	0.4564928923297467	0.06522922776428373	0.008624715350741247	0.00495	0.2511394118267684	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.0075001600395408026	0.03849942947612451	0.3339027319022228	0.025141912656177046	0.015	0.00175	2.8577753096108654E-4	0.026566592792183864	3.963267173660998E-4	0.011953512341336755	0.07209188947284448	1.1409478938205871E-4	0.0014329207082642063	6.4258814974837616E-6	8.918052526316626E-8	3.782459504979809E-5	3.042527716854899E-5	0.003187603291023135	0.0	0.003013281332918971	4.7815069650480933E-4	4.563888960230086E-6	0.09375	0.0017958379465690523	3.7142037569707536E-6	7.346124175843555E-8	1.511377788061298E-5	0.08377370659002469	3.471353507017742E-5
6.0	1.0	7.349959143099236E-7	1.4909198024123398E-4	0.993087118235891	3.3351408026247194E-4	9.516611540391926E-4	0.3777349284495466	0.0011170366456272323	3.748693445979393E-5	1.52984673603447E-5	0.009217221033066028	0.07436669952054804	8.721867735702337E-4	0.0012316852388140178	9.524260774072098E-4	0.9999625130655402	0.9999992650040856	0.9998509080197587	0.00691288176410898	0.9996664859197375	0.46219103577673093	0.07620584591551781	0.01033425767869326	0.00495	0.2523856337699915	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.00750017823650922	0.038612598902550206	0.3478224422443057	0.025158419188124673	0.015	0.00175	3.3062422153215895E-4	0.028510895840865934	4.906578700177297E-4	0.013943756160102759	0.07082529908428999	1.6353502004441884E-4	0.0017282289436998804	7.1376282760560005E-6	1.1474123194800399E-7	4.313168795705443E-5	4.360933867851169E-5	0.0037183349760274024	0.0	0.0032977154708086383	5.577635012650351E-4	6.541556257302662E-6	0.09375	0.0020152526898747527	3.7289838965263067E-6	7.37363207451826E-8	1.5173612529186821E-5	0.015299459759306317	3.480197561593038E-5
7.0	1.0	8.103979055368796E-7	1.6432772655619466E-4	0.9990488670734241	3.6840430544178506E-4	0.0010469504346667209	0.37042330704071186	0.0012573554831107204	4.129584243660428E-5	1.8764003273234292E-5	0.010781011810347721	0.08434945450018913	0.0011587257866041386	0.0013622275056080627	0.0010478886348303826	0.9999587041575634	0.9999991896020944	0.9998356722734438	9.511329265758928E-4	0.9996315956945582	0.46671249913785284	0.08657389472473323	0.012038367293458441	0.00495	0.25363803980483346	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.0075001965214920915	0.038726295659425605	0.34970039312812856	0.02517499204508485	0.015	0.00175	3.656465949554797E-4	0.030346538781676837	5.791898359190049E-4	0.01581552271878546	0.06945437007013347	2.1726108498827597E-4	0.002021439714440198	7.852334008261974E-6	1.4073371207917805E-7	4.869272018794568E-5	5.793628933020693E-5	0.004217472725009457	0.0	0.0035794365807616784	6.326374852320739E-4	8.690671114051548E-6	0.09375	0.0022397860846891855	3.745139069255771E-6	7.407211246684084E-8	1.5244823309854298E-5	0.001402885465117056	3.496394175697649E-5
8.0	1.0	8.861855839103794E-7	1.7964047982015833E-4	0.9995475745967296	4.0346817069220807E-4	0.0011426654272413124	0.36271839677755774	0.0014037568735550288	4.512450151167833E-5	2.248300098308304E-5	0.012333025689510507	0.0937402342992156	0.0014620247085158713	0.0014947287956792238	0.0011437895772904666	0.9999548754984883	0.9999991138144161	0.9998203595201799	4.524254032703956E-4	0.9995965318293077	0.47025368147479973	0.09636740743595587	0.013736782563065536	0.00495	0.25489666061843574	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.007500214900004098	0.03884056708065793	0.3498574859979698	0.025191647381078798	0.015	0.00175	3.9920366987860733E-4	0.03207255375228963	6.692973362816263E-4	0.017576293931102924	0.06800969939579207	2.741296328467259E-4	0.00231244231678322	8.57023626311484E-6	1.6862733897012618E-7	5.452271301224875E-5	7.310123542579357E-5	0.00468701171496078	0.0	0.003858381857462518	7.030719020208521E-4	1.0965499502984887E-5	0.09375	0.0024697000969452613	3.7678272627443706E-6	7.447419159326861E-8	1.532982896770992E-5	8.620341472995608E-5	3.5153437140002155E-5
9.0	1.0	9.624574439409596E-7	1.9504849166660044E-4	0.9995571535627892	4.3874329416078667E-4	0.0012389226427455572	0.3547512927942064	0.0015565143338248922	4.897803769199738E-5	2.650684857676816E-5	0.013872713458718816	0.1025724547581485	0.0017806408656611838	0.0016293765686306188	0.0012402479851743957	0.999951021962308	0.999999037542556	0.9998049515083334	4.4284643721081984E-4	0.9995612567058392	0.4729771018767349	0.105618525115132	0.015429227792543708	0.00495	0.2561615270502177	0.015	0.05	0.09375	0.1875	0.00175	0.0	100.0	0.1	10.0	0.1	1.0	0.25	0.4	0.1	6.5	0.2	0.1	1.0	0.3	1.0	0.25	0.25	0.0075	7.5	0.0375	0.5	0.025	0.35	0.035	0.1	0.1	0.01	0.01	0.001	0.01	0.01	0.05	0.05	0.1	0.1	0.25	0.05	0.0	0.007500233395930155	0.038955549369062	0.3498605033722786	0.025208403064726374	0.015	0.00175	4.327819041073755E-4	0.03369369544278527	7.622697934847591E-4	0.019232335267152845	0.0665158673989137	3.33870162311472E-4	0.002601133773509778	9.292208980094274E-6	1.9880755091634025E-7	6.063487097496824E-5	8.90320432830592E-5	0.0051286227379074255	0.0	0.004134483375899053	7.693173506796003E-4	1.3355222086789992E-5	0.09375	0.0027053672392370874	3.79386209040691E-6	7.4973028502621E-8	1.543416427918589E-5	-2.5217873264141676E-5	3.53863140186662E-5
